,title,genre,language,awards,metascore,boxoffice,production,imdbrating,imdbvotes,imdbid
159,I'm in Love with a Church Girl,"Crime, Drama, Romance",English,N/A,23,"$2,380,405",High Top Releasing,4.4,"1,644",tt1618432
160,Monster High: Great Scarrier Reef,"Animation, Fantasy",English,N/A,N/A,N/A,Universal Pictures,6.1,280,tt5475710
161,Monster High: New Ghoul at School,"Animation, Short, Fantasy",English,2 nominations.,N/A,N/A,N/A,6.8,418,tt1789846
163,Unchained: The Untold Story of Freestyle Motocross,Documentary,English,N/A,N/A,N/A,Indie Rights,7.9,199,tt5116896
164,Hit and Run,"Action, Comedy",English,1 win.,50,"$13,600,000",Open Road Films,6.1,"33,494",tt2097307
165,Let It Snow,"Comedy, Romance",English,1 nomination.,51,N/A,Netflix,5.8,"14,285",tt1950235
166,Hope Springs Eternal,"Comedy, Drama",English,N/A,N/A,N/A,Samuel Goldwyn Films,4.8,396,tt5516404
167,The Sea of Trees,"Drama, Fantasy, Mystery","English, Japanese",2 nominations.,23,"$20,083",Waypoint Entertainment,6.1,"12,218",tt3450900
168,Krisha,Drama,English,16 wins & 26 nominations.,86,"$143,978",A24 Films,7.2,"6,473",tt4266638
169,The Journey Is the Destination,Drama,English,4 wins & 1 nomination.,N/A,N/A,N/A,6.3,431,tt3292080
170,Burning Cane,Drama,English,4 wins & 15 nominations.,74,N/A,Array Releasing,5.5,379,tt7358154
171,Seth Meyers: Lobby Baby,Comedy,English,1 nomination.,N/A,N/A,N/A,7.5,"1,580",tt11168100
172,The Lovers,"Drama, Romance",French,2 wins & 1 nomination.,N/A,N/A,Criterion Collection,7.2,"4,455",tt0052556
173,Undercover Brother 2,Comedy,English,N/A,N/A,N/A,N/A,3.4,366,tt6843446
175,Minimalism: A Documentary About the Important Things,Documentary,English,N/A,N/A,N/A,Catalyst Films,6.7,"11,295",tt3810760
176,"Dana Carvey: Straight White Male, 60",Comedy,English,N/A,N/A,N/A,Netflix,6.4,"1,268",tt6217368
177,A Christmas Prince: The Royal Wedding,"Drama, Romance",English,N/A,N/A,N/A,Netflix,5.2,"7,541",tt8709036
178,Takers,"Action, Crime, Thriller","English, Russian",2 wins & 6 nominations.,45,"$57,744,720",Sony Pictures/Screen Gems,6.2,"55,131",tt1135084
179,Hoodwinked Too! Hood vs. Evil,"Animation, Comedy, Crime, Family, Mystery",English,1 win & 1 nomination.,20,"$10,134,754",The Weinstein Co.,4.7,"11,702",tt0844993
180,Holiday Rush,"Comedy, Romance",English,N/A,N/A,N/A,N/A,4.8,"1,515",tt10091530
181,The Irishman,"Biography, Crime, Drama","English, Italian, Latin, Spanish, German",Nominated for 10 Oscars. Another 67 wins & 308 nominations.,94,N/A,Netflix,7.9,"266,617",tt1302006
